date,open,high,low,close,adjusted,return,total return,volume
1983/1/4,1100,1110,1090,1090,741.1,N/A,N/A,1188000
1983/1/5,1100,1100,1060,1080,734.3,-0.009174312,-0.00917555,1116000
1983/1/6,1060,1070,1040,1050,713.9,-0.027777778,-0.027781561,1477999
1983/1/7,1070,1080,1050,1070,727.5,0.019047619,0.019050287,1227000
1983/1/8,1070,1070,1060,1070,727.5,0,0,743000
1983/1/10,1060,1070,1050,1060,720.7,-0.009345794,-0.009347079,513000
1983/1/11,1050,1050,1010,1020,693.5,-0.037735849,-0.037741085,1279999
1983/1/12,1010,1020,1000,1000,679.9,-0.019607843,-0.019610671,598000
1983/1/13,1010,1050,1000,1020,693.5,0.02,0.020002942,755000
1983/1/14,1040,1040,1020,1030,700.3,0.009803922,0.009805335,1311999
1983/1/17,1040,1040,1020,1030,700.3,0,0,440000
1983/1/18,1020,1020,995,1000,679.9,-0.029126214,-0.029130373,839000
1983/1/19,1000,1000,985,988,671.8,-0.012,-0.011913517,1006000
1983/1/20,980,995,980,988,671.8,0,0,294000
1983/1/21,990,1010,990,1000,679.9,0.012145749,0.01205716,253000
1983/1/22,995,1000,980,980,666.3,-0.02,-0.020002942,336000
1983/1/24,980,984,978,978,665,-0.002040816,-0.001951073,305000
1983/1/25,961,978,959,978,665,0,0,551000
1983/1/26,988,999,980,990,673.1,0.012269939,0.012180451,365000
1983/1/27,990,998,981,981,667,-0.009090909,-0.009062546,431000
1983/1/28,986,990,981,989,672.4,0.008154944,0.008095952,506000
1983/1/29,989,999,982,992,674.5,0.003033367,0.003123141,894000
1983/1/31,990,998,987,990,673.1,-0.002016129,-0.002075612,139000
1983/2/1,990,995,989,990,673.1,0,0,818000
1983/2/2,990,995,980,980,666.3,-0.01010101,-0.010102511,467000
1983/2/3,980,980,968,968,658.2,-0.012244898,-0.012156686,520000
1983/2/4,968,975,968,971,660.2,0.003099174,0.00303859,199000
1983/2/5,973,980,973,974,662.2,0.003089598,0.003029385,785000
1983/2/7,975,978,971,973,661.6,-0.001026694,-0.000906071,331000
1983/2/8,973,980,971,974,662.2,0.001027749,0.000906892,395000
1983/2/9,972,985,971,971,660.2,-0.003080082,-0.003020236,305000
1983/2/10,971,975,970,970,659.5,-0.001029866,-0.001060285,443000
1983/2/12,980,980,975,977,664.3,0.007216495,0.007278241,249000
1983/2/14,980,995,978,988,671.8,0.011258956,0.01129008,296000
1983/2/15,1000,1010,988,988,671.8,0,0,593000
1983/2/16,995,995,976,976,663.6,-0.012145749,-0.012206014,2253999
1983/2/17,976,977,973,976,663.6,0,0,489000
1983/2/18,980,980,971,980,666.3,0.004098361,0.004068716,882000
1983/2/21,970,975,955,956,650,-0.024489796,-0.024463455,1117000
1983/2/22,955,965,952,952,647.3,-0.0041841,-0.004153846,485000
1983/2/23,951,968,950,968,658.2,0.016806723,0.016839178,389000
1983/2/24,972,975,965,975,662.9,0.007231405,0.007140687,2437999
1983/2/25,994,994,980,989,672.4,0.014358974,0.01433097,1400999
1983/2/26,979,985,975,975,662.9,-0.014155713,-0.014128495,1145000
1983/2/28,975,983,970,983,668.4,0.008205128,0.008296877,3322999
1983/3/1,978,978,971,972,660.9,-0.011190234,-0.011220826,353000
1983/3/2,973,974,972,972,660.9,0,0,963000
1983/3/3,972,980,972,975,662.9,0.00308642,0.003026176,851000
1983/3/4,982,985,980,982,667.7,0.007179487,0.007240911,745000
1983/3/5,986,998,986,991,673.8,0.009164969,0.009135839,769000
1983/3/7,990,1010,990,1000,679.9,0.009081736,0.009053131,838000
1983/3/8,1000,1000,990,998,678.6,-0.002,-0.001912046,1324999
1983/3/9,988,994,985,985,669.7,-0.013026052,-0.013115237,2564999
